doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_median,tmin_C_7d_median,precip_mm_7d_median,rh_max_pct_7d_median,rh_min_pct_7d_median,solar_MJ_m2_7d_median,tmax_C_30d_median,tmin_C_30d_median,precip_mm_30d_median,rh_max_pct_30d_median,rh_min_pct_30d_median,solar_MJ_m2_30d_median
1,34.5,20.1,0.0,32.0,14.0,21.2,34.6,20.475,0.0,32.0,13.75,21.16,34.96666666666667,20.64,0.0,31.466666666666665,13.2,21.366666666666667
2,34.6,20.5,0.0,34.0,14.0,21.07,34.58,20.48,0.0,32.4,14.2,21.178,35.0,20.6375,0.0,31.375,13.125,21.36375
3,34.6,20.7,0.0,31.0,13.0,21.12,34.61666666666667,20.55,0.0,32.666666666666664,14.166666666666666,21.19,35.04705882352941,20.676470588235293,0.0,31.470588235294116,13.058823529411764,21.365294117647057
4,34.7,20.6,0.0,31.0,14.0,21.25,34.65714285714286,20.571428571428573,0.0,32.857142857142854,14.0,21.222857142857144,35.07222222222222,20.694444444444443,0.0,31.444444444444443,13.0,21.39
5,34.5,20.5,0.0,34.0,16.0,21.25,34.72857142857143,20.642857142857142,0.0,32.57142857142857,14.0,21.245714285714286,35.078947368421055,20.678947368421053,0.0,31.36842105263158,12.894736842105264,21.391052631578948
6,34.8,20.9,0.0,34.0,14.0,21.25,34.81428571428572,20.714285714285715,0.0,32.285714285714285,13.857142857142858,21.24857142857143,35.095,20.72,0.0,31.35,12.85,21.4025
7,34.9,20.7,0.0,34.0,13.0,21.42,34.92857142857143,20.785714285714285,0.0,32.42857142857143,13.714285714285714,21.292857142857144,35.114285714285714,20.738095238095237,0.0,31.238095238095237,12.761904761904763,21.423809523809524
8,35.0,20.6,0.0,30.0,14.0,21.36,35.0,20.785714285714285,0.0,32.857142857142854,13.571428571428571,21.30857142857143,35.163636363636364,20.745454545454546,0.0,31.181818181818183,12.681818181818182,21.425
9,35.2,21.0,0.0,32.0,13.0,21.09,35.114285714285714,20.842857142857145,0.0,32.42857142857143,13.142857142857142,21.367142857142856,35.2,20.76086956521739,0.0,31.304347826086957,12.652173913043478,21.440434782608694
10,35.4,21.2,0.0,32.0,12.0,21.43,35.142857142857146,20.857142857142858,0.0,31.571428571428573,13.0,21.428571428571427,35.24166666666667,20.7625,0.0,31.333333333333332,12.541666666666666,21.459999999999997
11,35.2,20.6,0.0,34.0,13.0,21.36,35.18571428571429,20.75714285714286,0.0,30.571428571428573,12.714285714285714,21.474285714285713,35.288000000000004,20.791999999999998,0.0,31.36,12.48,21.476799999999997
12,35.3,20.9,0.0,31.0,13.0,21.66,35.27142857142857,20.714285714285715,0.0,30.285714285714285,12.285714285714286,21.51142857142857,35.32692307692308,20.826923076923077,0.0,31.384615384615383,12.423076923076923,21.489615384615384
13,35.0,21.0,0.0,28.0,13.0,21.68,35.31428571428571,20.657142857142862,0.0,30.0,12.142857142857142,21.544285714285714,35.35925925925926,20.85185185185185,0.0,31.22222222222222,12.444444444444445,21.49185185185185
14,35.2,20.0,0.0,27.0,11.0,21.74,35.371428571428574,20.671428571428574,0.0,30.142857142857142,12.142857142857142,21.538571428571426,35.38928571428571,20.88214285714286,0.0,31.071428571428573,12.428571428571429,21.516785714285714
15,35.6,20.3,0.0,28.0,11.0,21.62,35.41428571428572,20.728571428571428,0.0,29.714285714285715,12.0,21.602857142857143,35.42758620689656,20.920689655172417,0.0,31.137931034482758,12.379310344827585,21.534827586206895
16,35.5,20.6,0.0,30.0,12.0,21.32,35.4,20.657142857142855,0.0,29.571428571428573,11.714285714285714,21.56714285714286,35.46,20.953333333333333,0.0,31.166666666666668,12.333333333333334,21.565333333333335
17,35.8,21.3,0.0,33.0,12.0,21.39,35.45714285714286,20.728571428571428,0.0,30.0,11.571428571428571,21.55857142857143,35.53333333333333,21.003333333333334,0.0,31.0,12.233333333333333,21.596
18,35.5,21.0,0.0,31.0,12.0,21.81,35.5,20.88571428571429,0.0,30.285714285714285,11.571428571428571,21.57428571428571,35.60666666666667,21.066666666666666,0.0,31.0,12.166666666666666,21.619333333333334
19,35.2,20.4,0.0,30.0,11.0,21.41,35.58571428571429,20.971428571428568,0.0,30.571428571428573,11.571428571428571,21.55,35.66333333333333,21.086666666666666,0.0,31.1,12.1,21.653666666666666
20,35.4,21.5,0.0,31.0,12.0,21.62,35.65714285714286,21.042857142857144,0.0,31.142857142857142,11.571428571428571,21.615714285714287,35.73,21.116666666666667,0.0,31.333333333333332,12.0,21.677000000000003
21,35.5,21.1,0.0,29.0,11.0,21.85,35.714285714285715,20.97142857142857,0.0,31.0,11.285714285714286,21.69,35.82,21.18,0.0,31.066666666666666,11.8,21.716666666666665
22,36.2,20.9,0.0,30.0,11.0,21.45,35.84285714285714,21.042857142857144,0.0,31.142857142857142,11.142857142857142,21.7,35.90333333333333,21.243333333333336,0.0,30.833333333333332,11.666666666666666,21.75566666666667
