stage,stage_date_range,p30_anom_pct_mean,p30_anom_pct_median,p30_anom_pct_std,cdd_30_max_mean,cdd_30_max_median,cdd_30_max_std,heat_30_count_mean,heat_30_count_median,heat_30_count_std,p7_mm_mean,p7_mm_median,p7_mm_std,p30_anom_pct_score_0_100,cdd_30_max_score_0_100,heat_30_count_score_0_100,p7_mm_score_0_100,p30_anom_pct_weight,cdd_30_max_weight,heat_30_count_weight,p7_mm_weight,stage_score_0_100
preparation,2025-03-01 to 2025-04-30,-0.37740508948107016,-0.4125444839743872,0.40342203579287567,52.557377049180324,71.0,26.527045689361348,28.65573770491803,29.0,1.52627264822551,4.526229508196722,4.8,3.98689108785882,50,20,20,100,0.4,0.6,0.0,0.0,32.0
planting,2025-05-01 to 2025-05-31,-0.22729056762026287,-0.2916162227557304,0.17423793789756611,14.774193548387096,15.0,0.4250237185032414,15.548387096774194,17.0,4.71054639206833,13.603225806451611,12.6,12.031970851886449,50,40,20,70,0.5,0.5,0.0,0.0,45.0
vegetative,2025-06-01 to 2025-08-31,0.14706231904441322,0.18186404170509352,0.2373083790697651,6.304347826086956,4.0,4.369572942732888,0.7065217391304348,0.0,2.008433009430081,37.142391304347825,35.05,22.282315629736964,100,100,100,40,0.4,0.2,0.4,0.0,100.0
harvest,2025-09-01 to 2025-10-31,0.46593879680848826,0.4616020896759643,0.49644322703972027,4.327868852459017,3.0,3.4675702899648617,0.0,0.0,0.0,47.044262295081964,41.79999999999998,41.722470063464854,100,100,100,40,0.0,0.0,0.4,0.6,64.0
