month,monthly_mean_mm
1,2.096774193548387
2,4.52258064516129
3,19.76774193548387
4,51.277419354838706
5,64.45806451612903
6,81.79677419354839
7,153.08064516129033
8,221.9225806451613
9,177.9806451612903
10,73.45806451612903
11,6.9064516129032265
12,1.238709677419355
