month,monthly_std_mm
1,6.620799743785627
2,7.61186397134628
3,14.616985259092115
4,30.712469885237372
5,26.404554836789657
6,34.03390940293683
7,46.782969973804484
8,64.39025138262996
9,44.616980469733264
10,55.59828399146595
11,6.417213075464612
12,6.185611121484808
