doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_std,tmin_C_7d_std,precip_mm_7d_std,rh_max_pct_7d_std,rh_min_pct_7d_std,solar_MJ_m2_7d_std,tmax_C_30d_std,tmin_C_30d_std,precip_mm_30d_std,rh_max_pct_30d_std,rh_min_pct_30d_std,solar_MJ_m2_30d_std
1,1.2846237054157648,1.8362947733475845,0.01796053020267749,17.105931814017225,6.516315338548149,1.081035544957873,1.434933142212731,1.7746949262775846,0.05388159060803248,16.63175769024073,5.255068565577103,1.6485441028948955,1.3295339714864174,1.821935328786672,0.06346054004946047,18.026073237182644,6.044540207477581,1.3935882517960159
2,1.3496156362429264,1.7986613899505721,0.0,20.09948375734631,6.222055809346591,1.0875292110772186,1.3874280325758377,1.724434865977221,0.04310527248642598,16.413121144452695,4.864129791185448,1.545088808397867,1.3101870440746854,1.8192835582066207,0.05949425629636919,18.017334879776794,6.050032065458009,1.38613302992344
3,1.6839916736698086,1.6644867464273367,0.03592106040535498,16.041344431898334,4.17107293898891,2.1967835725250966,1.3743787806114849,1.7042115757465581,0.03592106040535498,16.320370219212396,4.917187605624232,1.4818693825248044,1.2975540110821469,1.804811448794479,0.05599459416128865,18.05568107834538,6.066090473421854,1.407208080348928
4,1.4215015535224242,1.7993367953848454,0.16164477182409742,13.280270757701045,4.110830175424764,2.2288280830193936,1.3741018038466724,1.7239549837666428,0.03078948034744713,16.722822015046653,5.127038077415617,1.445591912622538,1.2928059903502185,1.8108372369232413,0.12771932588570659,18.13525528068793,6.2123099367122085,1.405491112962184
5,1.1974075940282651,1.5233946247757666,0.0,15.53857496130057,3.3003746936188274,1.1312676304097542,1.4019601785930094,1.7261450542745074,0.0744079108396639,17.06059638841916,4.991034035524144,1.4758254520762208,1.2914732631259678,1.827503454574425,0.13168364510126307,18.401006751196057,6.306568632482594,1.4130594838610717
6,1.3091325207897206,1.603095124593243,0.0,15.856615593010893,5.182476677818149,1.1657722531594914,1.4079937047692914,1.7347652965427212,0.0744079108396639,16.69514856590602,4.822877371008365,1.4671556277133582,1.2995051034785974,1.8314221115436158,0.34364684212412067,18.565582606614566,6.418905782197863,1.4058027418751808
7,1.3724399432577963,1.842415431887151,0.0,19.13753279005218,6.386140908163923,1.2279270932089392,1.3543015396338771,1.7402782675155888,0.06927633078175605,17.04707207896511,5.044151161564665,1.3185623631415289,1.3376582815103244,1.8221488196493456,0.4314931905835698,18.774391912849996,6.757524326594573,1.479144756888576
8,1.4796323286401236,1.851625266902637,0.32328954364819484,19.470352427624775,5.564287045307839,1.292670321133653,1.3265204876902763,1.7317544356619663,0.0461842205211707,17.893366854753783,5.486237426595289,1.2370826764045941,1.3578493605293431,1.8130381557191628,0.4184109656307448,18.96824215338112,6.872361049961909,1.4736496225646327
9,1.3918503194769025,1.8590030858280693,0.0,17.541348999754344,5.044959157736146,1.026840440537179,1.3410642584023944,1.8334962108294033,0.06671054075280212,18.805754515394216,6.025385680689804,1.2590521985296121,1.3722567559210461,1.8101044415941592,0.40021918451636457,19.054020152759556,6.822666264454161,1.4635383481703632
10,1.3081465177219078,1.7030775432374101,0.0,18.504809023311946,5.719989472883012,1.1566307205222912,1.3496689393460157,1.9017003541035709,0.09236844104234139,19.276719544594638,6.620245597380101,1.3484636806642618,1.3814533565107634,1.8135623570152701,0.38354338516151604,19.125038797793977,6.84142471224051,1.4459934760486162
11,1.2270341899172184,1.7396699724094873,0.0,19.20433418822176,7.205434030639132,1.658470275860852,1.3150362250160808,1.929866927487005,0.09493423107129531,19.379239798096105,6.751199781166869,1.3404041101800197,1.3880481869918215,1.8111928594097737,0.3682016497550554,19.166059738164236,6.872635754428152,1.430710772233668
